"go_id","go_desc","gene_count","up_count","down_count"
"GO:0009534","chloroplast thylakoid",4,1,3
"GO:0009553","embryo sac development",4,2,2
"GO:0009635","response to herbicide",4,0,4
"GO:0009706","chloroplast inner membrane",4,0,4
"GO:0009707","chloroplast outer membrane",4,1,3
"GO:0009725","response to hormone",4,1,3
"GO:0009755","hormone-mediated signaling pathway",4,1,3
"GO:0010315","auxin efflux",4,2,2
"GO:0010497","plasmodesmata-mediated intercellular transport",4,4,0
"GO:0015267","channel activity",4,0,4
"GO:0015698","inorganic anion transport",4,2,2
"GO:0015937","coenzyme A biosynthetic process",4,1,3
"GO:0016298","lipase activity",4,2,2
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",4,2,2
"GO:0016719","carotene 7,8-desaturase activity",4,0,4
"GO:0016757","transferase activity, transferring glycosyl groups",4,4,0
"GO:0019430","removal of superoxide radicals",4,0,4
"GO:0019752","carboxylic acid metabolic process",4,2,2
"GO:0019843","rRNA binding",4,3,1
"GO:0019915","lipid storage",4,1,3
"GO:0030234","enzyme regulator activity",4,2,2
"GO:0030244","cellulose biosynthetic process",4,1,3
"GO:0030245","cellulose catabolic process",4,1,3
"GO:0030433","ubiquitin-dependent ERAD pathway",4,2,2
"GO:0030955","potassium ion binding",4,1,3
"GO:0031410","cytoplasmic vesicle",4,3,1
"GO:0031418","L-ascorbic acid binding",4,3,1
"GO:0034389","lipid droplet organization",4,3,1
"GO:0038023","signaling receptor activity",4,2,2
"GO:0042626","ATPase-coupled transmembrane transporter activity",4,0,4
"GO:0045489","pectin biosynthetic process",4,4,0
"GO:0046856","phosphatidylinositol dephosphorylation",4,1,3
"GO:0046873","metal ion transmembrane transporter activity",4,3,1
"GO:0047262","polygalacturonate 4-alpha-galacturonosyltransferase activity",4,4,0
"GO:0047834","D-threo-aldose 1-dehydrogenase activity",4,0,4
"GO:0048316","seed development",4,0,4
"GO:0048579","negative regulation of long-day photoperiodism, flowering",4,0,4
"GO:0051017","actin filament bundle assembly",4,2,2
"GO:0051537","2 iron, 2 sulfur cluster binding",4,1,3
"GO:0051726","regulation of cell cycle",4,1,3
"GO:0052886","9,9'-dicis-carotene:quinone oxidoreductase activity",4,0,4
"GO:0052887","7,9,9'-tricis-neurosporene:quinone oxidoreductase activity",4,0,4
"GO:0055035","plastid thylakoid membrane",4,1,3
"GO:0061631","ubiquitin conjugating enzyme activity",4,2,2
"GO:0061659","ubiquitin-like protein ligase activity",4,3,1
"GO:0070509","calcium ion import",4,2,2
"GO:0071897","DNA biosynthetic process",4,1,3
"GO:0080043","quercetin 3-O-glucosyltransferase activity",4,0,4
"GO:0080044","quercetin 7-O-glucosyltransferase activity",4,0,4
"GO:0098656","anion transmembrane transport",4,2,2
"GO:0102726","DIMBOA glucoside beta-D-glucosidase activity",4,0,4
