"go_id","go_desc","gene_count","up_count","down_count","background_count","p_value","odds_ratio","p_adj"
"GO:0046686","response to cadmium ion",16,5,11,167,0.00511060697457928,2.18157045755345,0.166029707529448
"GO:0046835","carbohydrate phosphorylation",6,2,4,36,0.0059317975386208,4.10564734949881,0.166029707529448
"GO:0050302","indole-3-acetaldehyde oxidase activity",2,0,2,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0052894","norspermine:oxygen oxidoreductase activity",2,1,1,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0071280","cellular response to copper ion",2,0,2,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:0090610","bundle sheath cell fate specification",2,0,2,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:1990610","acetolactate synthase regulator activity",2,0,2,3,0.00630580274840558,40.9649920738984,0.166029707529448
"GO:2000022","regulation of jasmonic acid mediated signaling pathway",8,3,5,58,0.00525353616463582,3.2868620170266,0.166029707529448
"GO:0004029","aldehyde dehydrogenase (NAD+) activity",3,0,3,9,0.00686073291423639,10.2493338933884,0.167737919005208
"GO:0004312","fatty acid synthase activity",4,0,4,17,0.00685925698348152,6.31022098656618,0.167737919005208
"GO:0007127","meiosis I",4,1,3,17,0.00685925698348152,6.31022098656618,0.167737919005208
"GO:0008878","glucose-1-phosphate adenylyltransferase activity",4,3,1,17,0.00685925698348152,6.31022098656618,0.167737919005208
"GO:0032451","demethylase activity",3,1,2,9,0.00686073291423639,10.2493338933884,0.167737919005208
"GO:0032586","protein storage vacuole membrane",3,2,1,9,0.00686073291423639,10.2493338933884,0.167737919005208
"GO:0044248","cellular catabolic process",6,2,4,37,0.00680622260620368,3.97320650648302,0.167737919005208
"GO:0006955","immune response",8,2,6,61,0.00714302427481195,3.10051483921339,0.172875617802519
"GO:0009063","cellular amino acid catabolic process",5,2,3,27,0.00747020893864793,4.66325080485953,0.177214065514856
"GO:0009646","response to absence of light",5,2,3,27,0.00747020893864793,4.66325080485953,0.177214065514856
"GO:0050897","cobalt ion binding",6,2,4,38,0.00777031369877897,3.84909464224336,0.182526192375239
"GO:1900150","regulation of defense response to fungus",7,1,6,50,0.00812389334163226,3.34262213988031,0.188979111131562
"GO:0008483","transaminase activity",10,3,7,89,0.00841667198264211,2.60136111804327,0.193907173753947
"GO:0019915","lipid storage",4,1,3,18,0.00849831048200212,5.85967003655534,0.193923351570258
"GO:0031305","integral component of mitochondrial inner membrane",6,4,2,39,0.00882891093060904,3.73169996835263,0.199566703676785
"GO:0005524","ATP binding",202,87,115,3709,0.0095130234961087,1.20846370805866,0.199940388567337
"GO:0005982","starch metabolic process",3,0,3,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:0006312","mitotic recombination",3,1,2,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:0006631","fatty acid metabolic process",7,1,6,51,0.0090467077036355,3.26654101338512,0.199940388567337
"GO:0047334","diphosphate-fructose-6-phosphate 1-phosphotransferase activity",3,2,1,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:0048229","gametophyte development",3,1,2,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:0140021","mitochondrial ADP transmembrane transport",3,2,1,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:1990544","mitochondrial ATP transmembrane transport",3,2,1,10,0.00946424777984912,8.78574909875092,0.199940388567337
"GO:0006633","fatty acid biosynthetic process",14,2,12,149,0.0099695900233517,2.13329722597617,0.207714240834354
"GO:0006090","pyruvate metabolic process",4,0,4,19,0.0103737424250207,5.46893733148818,0.208869637397895
"GO:0006782","protoporphyrinogen IX biosynthetic process",4,0,4,19,0.0103737424250207,5.46893733148818,0.208869637397895
"GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity",4,1,3,19,0.0103737424250207,5.46893733148818,0.208869637397895
"GO:0042742","defense response to bacterium",21,7,14,259,0.0101293891569866,1.81766148604497,0.208869637397895
"GO:0004768","stearoyl-CoA 9-desaturase activity",2,0,2,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0006598","polyamine catabolic process",2,1,1,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0008115","sarcosine oxidase activity",2,0,2,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0009626","plant-type hypersensitive response",5,1,4,30,0.0117543141759403,4.10344388107901,0.221847244120691
"GO:0033383","geranyl diphosphate metabolic process",2,1,1,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0035514","DNA demethylase activity",2,2,0,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0042301","phosphate ion binding",2,2,0,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0042542","response to hydrogen peroxide",8,1,7,66,0.011372612091243,2.83276782720578,0.221847244120691
"GO:0043878","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity",2,0,2,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0044419","biological process involved in interspecies interaction between organisms",2,1,1,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0046592","polyamine oxidase activity",2,1,1,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0052901","spermine:oxygen oxidoreductase (spermidine-forming) activity",2,1,1,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:1901745","prephenate(2-) metabolic process",2,0,2,4,0.0122219683739279,20.4842731869862,0.221847244120691
"GO:0030170","pyridoxal phosphate binding",14,4,10,153,0.0124011189592515,2.07162620960569,0.223406624258396
"GO:0019430","removal of superoxide radicals",4,0,4,20,0.0124972859267683,5.12622751181573,0.223458933436842
"GO:0004560","alpha-L-fucosidase activity",5,1,4,31,0.0134892688847771,3.94565376922555,0.236364833343038
"GO:0006807","nitrogen compound metabolic process",5,0,5,31,0.0134892688847771,3.94565376922555,0.236364833343038
"GO:0016036","cellular response to phosphate starvation",7,3,4,55,0.0135150175993306,2.99394913037385,0.236364833343038
"GO:0009740","gibberellic acid mediated signaling pathway",6,2,4,43,0.0141020895562268,3.32804113825326,0.244844975193618
"GO:0006468","protein phosphorylation",103,52,51,1784,0.0143265457995831,1.27381228302606,0.246952544861878
"GO:0005847","mRNA cleavage and polyadenylation specificity factor complex",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0005992","trehalose biosynthetic process",6,2,4,44,0.0157024832400131,3.2403600656623,0.2501656910079
"GO:0006950","response to stress",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0008422","beta-glucosidase activity",6,0,6,44,0.0157024832400131,3.2403600656623,0.2501656910079
"GO:0009737","response to abscisic acid",22,7,15,285,0.0146815833459909,1.72299297078275,0.2501656910079
"GO:0015866","ADP transport",3,1,2,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0044205","'de novo' UMP biosynthetic process",3,1,2,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0061615","glycolytic process through fructose-6-phosphate",5,2,3,32,0.015388679905904,3.79874315486055,0.2501656910079
